steps,losses
0,0
1000,0.002370351
2000,0.000658952
3000,0.00070178
4000,0.001843728
5000,0.032346681
6000,0.001458648
7000,0.000725848
8000,0.010654145
9000,0.000791023
10000,0.018631481
11000,0.001622463
12000,0.001413636
13000,0.003202089
14000,0.004265423
15000,0.015057439
16000,0.00423842
17000,0.002306103
18000,0.007172449
19000,0.001709609
20000,0.048401318
21000,0.004497282
22000,0.003495878
23000,0.0013943
24000,0.002044835
25000,0.034102343
26000,0.009375178
27000,0.004564377
28000,0.003086704
29000,0.004581875
30000,0.030288845
31000,0.008696533
32000,0.004113552
33000,0.004760234
34000,0.00304497
35000,0.021931756
36000,0.007175304
37000,0.006697609
38000,0.009340311
39000,0.012881055
40000,0.037710115
41000,0.006034687
42000,0.007563083
43000,0.006474951
44000,0.020334968
45000,0.038911473
46000,0.00767279
47000,0.004989815
48000,0.006970114
49000,0.006937905
50000,0.028122867
51000,0.008462207
52000,0.041753247
53000,0.008252991
54000,0.003859009
55000,0.048934989
56000,0.006542989
57000,0.019451385
58000,0.005314964
59000,0.066762902
60000,0.068073049
61000,0.017284382
62000,0.013386854
63000,0.011621866
64000,0.015381128
65000,0.150356948
66000,0.021729223
67000,0.01089038
68000,0.008655925
69000,0.022677317
70000,0.044358838
71000,0.02404524
72000,0.043709461
73000,0.005328113
74000,0.005941472
75000,0.046395045
76000,0.012637328
77000,0.064630836
78000,0.009966554
79000,0.008731653
80000,0.046914726
81000,0.042393334
82000,0.016891047
83000,0.065927297
84000,0.01751654
85000,0.039498236
86000,0.017976779
87000,0.017891971
88000,0.052577376
89000,0.012201083
90000,0.034679431
91000,0.038547926
92000,0.024087921
93000,0.020286173
94000,0.027083561
95000,0.040514827
96000,0.015861262
97000,0.018163837
98000,0.023380522
99000,0.013115901
100000,0.05342336
101000,0.027820745
102000,0.014823193
103000,0.012351205
104000,0.010438074
105000,0.06315995
106000,0.159884974
107000,0.044172071
108000,0.019020941
109000,0.109635018
110000,0.04081285
111000,0.023228958
112000,0.045844741
113000,0.021279171
114000,0.018345043
115000,0.062859997
116000,0.019447243
117000,0.079601802
118000,0.038887784
119000,0.037318051
120000,0.064051628
121000,0.034514241
122000,0.033892713
123000,0.018696103
124000,0.032681551
125000,0.0825423
126000,0.026812192
127000,0.022805927
128000,0.021126926
129000,0.034103386
130000,0.04548908
131000,0.061572153
132000,0.028630042
133000,0.029391736
134000,0.046505783
135000,0.084672347
136000,0.228579506
137000,0.023170931
138000,0.330469221
139000,0.019872295
140000,0.067748353
141000,0.128578424
142000,0.190327972
143000,0.026382318
144000,0.015105335
145000,0.072663218
146000,0.041586101
147000,0.145500585
148000,0.055448532
149000,0.053486537
150000,0.196501315
151000,0.031982273
152000,0.041901365
153000,0.088410772
154000,0.016855702
155000,0.052038461
156000,0.038098596
157000,0.043270435
158000,0.197924808
159000,0.026215062
160000,0.088028423
161000,0.038147584
162000,0.026276935
163000,0.036908168
164000,0.079336368
165000,0.055120699
166000,0.028475126
167000,0.135192454
168000,0.200536117
169000,0.043472759
170000,0.066088483
171000,0.096506879
172000,0.037418298
173000,0.06705641
174000,0.056246996
175000,0.089070037
176000,0.093100503
177000,0.046198372
178000,0.030678915
179000,0.018357316
180000,0.03556319
181000,0.147718206
182000,0.053970877
183000,0.03600394
184000,0.025696149
185000,0.080714047
186000,0.050877087
187000,0.040637121
188000,0.043458983
189000,0.027416654
190000,0.099194206
191000,0.051759087
192000,0.048968948
193000,0.050796416
194000,0.050585523
195000,0.12312445
196000,0.04930225
197000,0.051503532
198000,0.029251762
199000,0.039916731
200000,0.05522266
201000,0.04186932
202000,0.122024685
203000,0.065701701
204000,0.094972827
205000,0.076905362
206000,0.117766529
207000,0.067189083
208000,0.046046667
209000,0.090522021
210000,0.086050466
211000,0.438574493
212000,0.05653888
213000,0.046478566
214000,0.040068861
215000,0.074649498
216000,0.046680141
217000,0.075057752
218000,0.035886168
219000,0.044304952
220000,0.293748409
221000,0.05345929
222000,0.087876454
223000,0.045614056
224000,0.034727581
225000,0.267695785
226000,0.050171942
227000,0.057652626
228000,0.053846862
229000,0.05546198
230000,0.091017134
231000,0.042172901
232000,0.043932289
233000,0.052609473
234000,0.041160427
235000,0.064312711
236000,0.177704081
237000,0.074157342
238000,0.038324442
239000,0.047400389
240000,0.080901444
241000,0.050077811
242000,0.049076311
243000,0.038605575
244000,0.049348291
245000,0.069322631
246000,0.046203647
247000,0.035299439
248000,0.058354076
249000,0.039794661
250000,0.088867471
251000,0.046493497
252000,0.04686708
253000,0.05069866
254000,0.046830207
255000,0.079831511
256000,0.087144792
257000,0.190131456
258000,0.11933393
259000,0.055138625
260000,0.105437249
261000,0.071265355
262000,0.091318145
263000,0.040114973
264000,0.063222148
265000,0.0573956
266000,0.116328575
