steps,losses
0,0
1000,0.001448156
2000,0.000657582
3000,0.000521593
4000,0.000613765
5000,0.006373639
6000,0.001663225
7000,0.00027464
8000,0.000262805
9000,0.000502907
10000,0.001414283
11000,0.001088014
12000,0.000391798
13000,0.000482011
14000,0.000354139
15000,0.005556778
16000,0.000342655
17000,0.000205453
18000,0.000224776
19000,0.000229173
20000,0.00123587
21000,0.000496861
22000,7.27E-05
23000,0.000182242
24000,9.34E-05
25000,0.001806199
26000,0.000437207
27000,0.0003835
28000,0.000234953
29000,0.000272713
30000,0.000865936
31000,0.000298983
32000,0.000257264
33000,0.000294107
34000,0.000183741
35000,0.001140981
36000,0.000439705
37000,0.000219019
38000,0.000349634
39000,0.000329279
40000,0.001236346
41000,0.001660623
42000,0.00053409
43000,0.000503455
44000,0.000134513
45000,0.000656677
46000,0.002539147
47000,0.003479978
48000,0.00023291
49000,0.000460997
50000,0.001030573
51000,0.000250496
52000,0.000283018
53000,0.000220507
54000,0.000375451
55000,0.000676394
56000,0.000822159
57000,0.000248832
58000,0.000358247
59000,0.000450345
60000,0.003742625
61000,0.000294002
62000,0.000487017
63000,0.000328597
64000,0.000372895
65000,0.000962038
66000,0.000423195
67000,0.001156947
68000,0.000447432
69000,0.000478217
70000,0.001273907
71000,0.000487718
72000,0.000301199
73000,0.000750836
74000,0.000316687
75000,0.000802969
76000,0.000548909
77000,0.000561492
78000,0.000570343
79000,0.000534876
80000,0.001378729
81000,0.000568993
82000,0.000915
83000,0.000428974
84000,0.001885073
85000,0.001425341
86000,0.000578206
87000,0.001127831
88000,0.001128009
89000,0.000739337
90000,0.001355299
91000,0.001261314
92000,0.000466368
93000,0.000624382
94000,0.000424844
95000,0.00100546
96000,0.001119851
97000,0.000990916
98000,0.000617839
99000,0.000901538
100000,0.000854793
101000,0.000688965
102000,0.000903261
103000,0.000788347
104000,0.000633594
105000,0.001866256
106000,0.00094227
107000,0.000878495
108000,0.000635537
109000,0.000668559
110000,0.001259004
111000,0.001033674
112000,0.001167733
113000,0.000775379
114000,0.000525847
115000,0.000829625
116000,0.005467447
117000,0.001087488
118000,0.000876177
119000,0.001600801
120000,0.002896043
121000,0.001206206
122000,0.001065364
123000,0.001225372
124000,0.000714582
125000,0.00212717
126000,0.001434045
127000,0.001115218
128000,0.001231091
129000,0.001071913
130000,0.002334056
131000,0.001138061
132000,0.00190005
133000,0.001385242
134000,0.001328407
135000,0.001743829
136000,0.000982934
137000,0.002506541
138000,0.003307883
139000,0.001167605
140000,0.001652486
141000,0.001554958
142000,0.000978107
143000,0.00126607
144000,0.001346599
145000,0.002030001
146000,0.004073211
147000,0.001755876
148000,0.001707001
149000,0.00111726
150000,0.002048295
151000,0.001247028
152000,0.002945751
153000,0.001837456
154000,0.002027268
155000,0.003489722
156000,0.001918447
157000,0.001477139
158000,0.001125112
159000,0.002519995
160000,0.002007794
161000,0.00171482
162000,0.002016452
163000,0.001245523
164000,0.001259688
165000,0.002640029
166000,0.002646012
167000,0.00168909
168000,0.001490705
169000,0.00226182
170000,0.00321945
171000,0.002119787
172000,0.001115212
173000,0.004783254
174000,0.001728129
175000,0.002641097
176000,0.007972647
177000,0.003029188
178000,0.001593277
179000,0.001817184
180000,0.007377376
181000,0.001867043
182000,0.001918428
183000,0.001806074
184000,0.002125253
185000,0.003041118
186000,0.00200739
187000,0.001933265
188000,0.001719642
189000,0.002304077
190000,0.003404008
191000,0.002313105
192000,0.002502446
193000,0.002026507
194000,0.00195764
195000,0.003920108
196000,0.00249498
197000,0.004504158
198000,0.001391018
199000,0.0018244
200000,0.00243385
201000,0.004124677
202000,0.003598003
203000,0.002017714
204000,0.002040507
205000,0.002560631
206000,0.002117896
207000,0.002348209
208000,0.001762137
209000,0.001517252
210000,0.004434993
211000,0.002999588
212000,0.001716157
213000,0.001700766
214000,0.002644577
215000,0.00281184
216000,0.000955655
217000,0.001774655
218000,0.002191319
219000,0.00286859
220000,0.003307757
221000,0.007958982
222000,0.001413104
223000,0.003120207
224000,0.003998611
225000,0.004487934
226000,0.003392029
227000,0.00210449
228000,0.00261358
229000,0.001986805
230000,0.002609486
231000,0.003949017
232000,0.002833169
233000,0.002130869
234000,0.004930289
235000,0.003551683
236000,0.005072576
237000,0.002092096
238000,0.004558672
239000,0.004160634
240000,0.003615938
241000,0.005762375
242000,0.003913785
243000,0.003775331
244000,0.002276174
245000,0.003678037
246000,0.003900383
247000,0.003004586
248000,0.00260227
249000,0.003260038
250000,0.003653899
251000,0.004843509
252000,0.006668582
253000,0.002579074
254000,0.001352867
255000,0.005011818
256000,0.00282548
257000,0.004288337
258000,0.004699391
259000,0.003878281
260000,0.005463359
261000,0.005092859
262000,0.004656378
263000,0.001902331
264000,0.002248988
265000,0.005422736
266000,0.005873145
267000,0.00408785
268000,0.004206083
269000,0.004396608
270000,0.005360357
271000,0.005741106
272000,0.002907897
273000,0.004709286
274000,0.007071717
275000,0.004589196
276000,0.00411816
277000,0.004222538
278000,0.001800397
279000,0.002390196
280000,0.002038926
281000,0.003917954
282000,0.005462233
283000,0.002925448
284000,0.007485975
285000,0.005744902
286000,0.002615211
287000,0.003800537
288000,0.004345042
289000,0.002779382
290000,0.005864455
291000,0.004466748
292000,0.005222304
293000,0.003804703
294000,0.004245752
295000,0.005641973
296000,0.003916538
297000,0.005778072
298000,0.003396688
299000,0.003836954
300000,0.005240087
301000,0.004022884
302000,0.006855351
303000,0.001858049
304000,0.002208387
305000,0.007335073
306000,0.0060067
307000,0.006758962
308000,0.004124977
309000,0.002731594
310000,0.005959668
311000,0.004027175
312000,0.003633769
313000,0.00503011
314000,0.003121168
315000,0.010216502
316000,0.003530163
317000,0.006173444
318000,0.003244475
319000,0.00618174
320000,0.006818977
321000,0.006047528
322000,0.008946777
323000,0.00686027
324000,0.005830119
325000,0.005612108
326000,0.003714058
327000,0.005939935
328000,0.003982839
329000,0.009156914
330000,0.00381953
331000,0.004885616
332000,0.003353389
333000,0.006253362
334000,0.004726021
335000,0.009075694
336000,0.007794398
337000,0.006751555
338000,0.004455021
339000,0.006208922
340000,0.006465988
341000,0.004941128
342000,0.003446224
343000,0.012385639
344000,0.004777196
345000,0.017152905
346000,0.004359043
347000,0.00740368
348000,0.008419367
349000,0.011617253
350000,0.007333112
351000,0.006708361
352000,0.006778176
353000,0.005385801
354000,0.0035145
355000,0.005583185
356000,0.003937281
357000,0.005080585
358000,0.009131019
359000,0.002556277
360000,0.006768744
361000,0.003996226
362000,0.003351852
363000,0.004977171
364000,0.007121126
365000,0.00707808
366000,0.005121656
367000,0.005452541
368000,0.004255156
369000,0.002802689
370000,0.006654838
371000,0.004580021
372000,0.00896316
373000,0.004826789
374000,0.005791903
375000,0.010056298
376000,0.008772176
377000,0.008338435
378000,0.006202288
379000,0.011240557
380000,0.004068701
381000,0.006548545
382000,0.009051512
383000,0.006512863
384000,0.00405385
385000,0.006458592
386000,0.009228371
387000,0.005998996
388000,0.005241802
389000,0.005926002
390000,0.006485389
391000,0.005931062
392000,0.003063879
393000,0.003211263
394000,0.006644181
395000,0.005831783
396000,0.009943837
397000,0.004375127
398000,0.005081387
399000,0.010242768
400000,0.013217043
401000,0.005514683
402000,0.007789458
403000,0.004482939
404000,0.004866601
405000,0.006452023
406000,0.006583929
407000,0.005721435
408000,0.004888466
409000,0.001593959
410000,0.005423135
411000,0.00626541
412000,0.002993294
413000,0.003961477
414000,0.008171318
415000,0.008625155
416000,0.005803233
417000,0.005567586
418000,0.004272057
419000,0.003571053
420000,0.006691596
421000,0.011178543
422000,0.004690827
423000,0.008704023
424000,0.004562248
425000,0.00806616
426000,0.002522055
427000,0.004619612
428000,0.004395307
429000,0.003335676
430000,0.007638316
431000,0.00719555
432000,0.00269905
433000,0.005383939
434000,0.007366654
435000,0.008352455
436000,0.00387108
437000,0.005091005
438000,0.007627004
439000,0.003043153
440000,0.00639288
441000,0.005520201
442000,0.007309172
443000,0.004586011
444000,0.003016826
445000,0.004412593
446000,0.006802152
447000,0.003490804
448000,0.006987625
449000,0.00806052
450000,0.006780601
451000,0.006155661
452000,0.004914708
