steps,return,score
0,0.12097739716774762,-6.0
40000,-0.1991147300153544,1.3333333333333333
80000,0.015296918407486796,6.0
120000,0.12391801393237634,-1.6666666666666667
160000,0.2131977162470011,2.0
200000,0.0,0.0
240000,-0.23613674287116324,-1.3333333333333333
280000,-1.0412933048756243,3.0
320000,-0.8886610436970567,11.333333333333334
360000,-0.5621751308841668,6.0
400000,-0.32944830751228443,2.0
440000,-0.8333052805770543,2.6666666666666665
480000,-0.560113214674271,-0.3333333333333333
520000,-1.0320645668169088,0.6666666666666666
560000,-1.8709584789063216,-10.0
600000,-0.8527529248061861,-1.3333333333333333
640000,-0.26319740307272865,-4.333333333333333
680000,-0.2522329807677273,-5.0
720000,-0.11259612574576423,-14.666666666666666
760000,-1.0507366067339925,-21.333333333333332
800000,-0.07717303761946442,-12.666666666666666
840000,-2.845375346425609,-41.333333333333336
880000,-2.6776153603979957,-19.666666666666668
920000,-0.40003254470606975,-17.333333333333332
960000,-2.7413593673822754,-18.666666666666668
