epochs,training_loss
0,767869.7583211085
1,3561966.028442383
2,7663075.85670055
3,8088328.324351921
4,13613928.561700996
5,26177474.060724426
6,72637672.30255684
7,121136314.46093747
8,204385823.09090906
9,453211542.27272725
10,818105842.0909094
11,1336231915.0909085
12,2181060820.2272725
13,3559520201.363638
14,5718797999.0
15,8541196339.454542
16,12347586123.636364
17,17948554811.818184
18,25895664085.45454
19,35937842501.81818
20,48764137714.18183
21,65581636255.27271
22,86978676736.00002
23,112811651496.72733
24,143656049742.54547
25,179940054114.9091
26,222295119866.18182
27,271305800448.00003
28,327545795793.4546
29,391510987938.9091
30,463675126818.90906
31,544483470533.8181
32,634484073681.4546
33,734170395997.091
34,844083956712.7273
35,964741252794.1814
36,1096666262341.8181
37,1240431702318.5454
38,1396581530158.5457
39,1565585920744.7266
40,1748109646941.0906
41,1944691571013.8184
42,2155740718173.0906
43,2381949596811.6367
44,2623848836189.0913
45,2882034434513.455
46,3157065885882.181
47,3449575117079.2715
48,3760024964096.0
49,4088978830801.4556
50,4437075033274.182
51,4804902365928.728
52,5193067020194.911
53,5602175532683.637
54,6032972623313.455
55,6485990924846.545
56,6961689986699.636
57,7460834330624.0
58,7983932424936.7295
59,8531810617716.365
60,9105101770565.818
61,9704688620264.727
62,10331065734981.82
63,10984961512354.908
64,11667222963293.092
65,12378846224570.184
66,13120332902027.633
67,13892050736221.09
68,14695033062865.453
69,15530185694114.908
70,16398296490356.36
71,17300124457146.184
72,18236279530589.09
73,19207167731898.184
74,20213935298746.184
75,21257412724177.45
76,22338671318853.82
77,23458218991616.004
78,24616852547770.176
79,25815499964043.64
80,27054884015010.914
81,28335938311261.094
82,29659455618327.28
83,31026770888890.188
84,32438175070021.82
85,33894475226391.27
86,35396650658722.91
87,36946260729856.0
88,38543455405521.46
89,40189316470597.82
90,41884844026042.19
91,43630618122798.55
92,45427761365736.734
93,47276666106973.09
94,49178923113006.54
95,51134833129285.805
96,53145679979985.45
97,55212529069707.64
98,57336316615959.25
99,59517985196962.91
100,61758686262365.086
101,64059124569925.82
102,66420107025687.24
103,68843136033512.734
104,71328806837527.3
105,73878941121070.55
106,76494044418420.38
107,79174978956939.62
108,81923720709585.44
109,84740976858949.81
110,87626243570222.55
111,90582305021207.28
112,93608503949870.56
113,96706886472052.36
114,99877300785524.34
115,103121201802891.62
116,106440696484212.38
117,109837320802676.38
118,113311440484910.55
119,116863839085288.77
120,120495146059217.39
121,124208070566632.75
122,128001901729605.78
123,131879143523793.48
124,135839942624721.44
125,139885776559383.28
126,144018344929466.2
127,148238011269120.0
128,152547087107537.44
129,156946515081774.53
130,161436433017018.25
131,166019573350400.0
132,170697464098443.7
133,175470013728209.5
134,180338927903464.72
135,185303633014411.66
136,190368788786827.56
137,195531937441978.16
138,200796053769122.94
139,206161722971973.8
140,211631802122239.94
141,217206121222516.4
142,222885269849553.5
143,228670512764741.8
144,234565461254888.75
145,240571005516334.56
146,246686591471988.38
147,252915879033390.5
148,259259072732439.25
149,265715924080453.94
150,272290069098123.72
151,278980737999592.62
152,285789824006702.56
153,292722164510347.6
154,299772867248127.94
155,306948424734533.8
156,314250357500090.1
157,321674717584663.2
158,329226957202152.75
159,336907209903011.0
160,344717409100520.7
161,352657502157358.6
162,360731596959371.75
163,368942495533987.06
164,377285286160570.1
165,385768893037102.5
166,394388805356450.9
167,403149317454382.5
168,412051897861585.3
169,421091910025216.1
170,430280627352669.0
171,439612652537297.4
172,449092526127662.6
173,458719998681832.75
174,468498450207092.25
175,478428370019048.75
176,488511487988084.5
177,498750857376861.1
178,509143068073239.1
179,519699143768622.7
180,530412587986571.7
181,541288151872605.06
182,552324874835781.6
183,563523912657082.2
184,574885487169908.4
185,586418844681681.5
186,598115739989085.2
187,609988140299357.0
188,622027892183412.2
189,634247168714938.1
190,646637375014353.6
191,659206129903802.0
192,671950266588439.4
193,684876655338216.9
194,697985967313268.2
195,711277970170600.8
196,724753443907770.2
197,738415121745361.2
198,752265911908910.5
199,766308482774109.0
200,780541141986955.8
