epochs,mean_len,std_len,mean_returns,std_returns
0,61.21,65.96810138241058,-0.6469806337041283,0.27522040183396657
3,57.63000000000001,62.84218010222116,-0.6612932316605084,0.27009667078561556
6,52.67,59.687801098716974,-0.6835268480501419,0.26097112002916717
9,47.474999999999994,51.985369335996836,-0.7069212638762299,0.23747043289740988
12,30.705000000000005,28.03689934711041,-0.7744130048991427,0.17030107361237057
15,29.654999999999994,24.87700192949303,-0.78053360601248,0.16007521755008622
18,26.059999999999995,21.22015315684597,-0.7965984870456596,0.1463826956618314
21,25.635,20.074325019785846,-0.7988597929886989,0.13883395065928286
24,24.019999999999996,17.80938235874563,-0.8083936344844076,0.128774298053012
27,22.415000000000003,15.080518061392983,-0.8180314731601932,0.11346830748978821
30,20.4,13.722499772271814,-0.8318347071452721,0.10416404590551064
33,19.1,12.443190909087589,-0.8412865598769395,0.09528406139841498
36,17.075,10.517443843444092,-0.8563263034022934,0.08254406869190489
39,16.369999999999997,8.478596581982186,-0.8617760032685453,0.06754099450153891
42,15.91,8.102184890509472,-0.8647564179509125,0.0652160293161246
45,15.295000000000002,8.029055050253422,-0.8705096721838534,0.06387670282924122
48,15.11,7.210124825549139,-0.8715305574986294,0.05731117547007301
51,14.854999999999999,6.7370041561513085,-0.8733078986940237,0.05553601305479954
54,14.315000000000001,6.035977551316771,-0.8772351761611356,0.05054086805898542
57,13.39,5.2049879923012305,-0.8848725228571425,0.04376227762575678
60,13.88,6.481057012555899,-0.8813264840451647,0.05370342534555033
63,13.75,5.7899481862966615,-0.8820877429017816,0.0486802850618712
66,13.455000000000002,5.069144405124006,-0.8843341088803198,0.042734822573534136
69,14.16,5.158429993709325,-0.8787870770910601,0.043240273117956134
72,13.780000000000001,5.394728908851676,-0.8818130281342889,0.04533213034982199
75,13.510000000000002,4.987775055072151,-0.8840479975776951,0.041954544695031855
78,14.27,5.871251995954525,-0.8781507170332086,0.048584639271831855
81,13.925,5.1045690317596835,-0.8813034753412486,0.041823499773728845
84,14.525,5.724606973408742,-0.8756687329980727,0.04774872443065738
87,13.35,4.438017575449651,-0.8852617222046761,0.037659751633539976
90,13.3,4.481127090364655,-0.8856967485315318,0.03792857844673267
93,13.75,5.069467427649575,-0.8820340501024921,0.04253251011079544
96,13.35,4.104326985024463,-0.8851725906158899,0.03497462296924548
99,13.05,3.8046681852692483,-0.8894116178549428,0.030035717701601267
102,13.515,5.076812484226693,-0.8841762481645175,0.04220485038638727
105,12.614999999999998,3.10322815790267,-0.8912469213318979,0.026622770530430957
108,12.895,3.371828139155375,-0.8893976203295002,0.028390456433015018
111,13.309999999999999,3.421169390720079,-0.8858368983728117,0.02833889965464892
114,13.194999999999999,3.4566204593504333,-0.886704824779863,0.029143307495908623
117,13.26,3.4056423769973265,-0.8866764374601255,0.028073424203093757
120,13.36,3.458019664490068,-0.8857294743276748,0.028483650865059888
123,12.605,2.344829418102733,-0.8916266796834696,0.019750924550720677
126,13.319999999999999,3.2427765880491983,-0.8854667355780727,0.027230297151125266
129,13.09,3.0707328115614354,-0.8873691618833117,0.02581972573230929
132,12.610000000000001,2.611398092976251,-0.8914533146457162,0.022063515112524988
135,12.535,2.276955203775428,-0.8919118728997152,0.019448349432463645
138,13.005,2.8322649946641647,-0.8879773372598198,0.02403356147409665
141,13.385000000000002,2.9575369820173,-0.8848669691349457,0.025175355884784947
144,12.415000000000001,2.4101919010734396,-0.893088445430729,0.02064741024346021
147,12.294999999999998,2.3008096401049785,-0.8947382896827675,0.019014734901387685
150,12.875,2.7945706289160057,-0.8897882720543917,0.022991089140363106
153,12.819999999999999,2.7601811534752567,-0.8897941530882107,0.023108378417311302
156,13.194999999999999,3.0478229935480172,-0.8867349965163613,0.025584030088364386
159,12.95,3.133129425989294,-0.8886464063538257,0.026431429646436917
162,13.020000000000001,2.6660082520502444,-0.8879445421188953,0.022584911465104936
165,12.754999999999999,2.929116761073208,-0.8900495168685879,0.024874531729977025
168,12.559999999999999,2.479092575923699,-0.8918781128801443,0.020829984771755315
171,12.125000000000002,2.475303011754319,-0.8952038374741443,0.02135961724809693
174,12.42,2.373415260758218,-0.8931306918966924,0.019964000330519958
177,12.645,2.4636811887904653,-0.8910073749576721,0.020639800584899455
180,13.385,3.0705089154731335,-0.8849399031475803,0.026064723393520426
183,11.98,1.9454048421858108,-0.8966567969117497,0.016761647434600995
186,12.575,2.882642017316753,-0.8917953766257817,0.024290815339579806
189,13.25,3.0160404506571195,-0.88646482393852,0.024992338181005536
192,13.11,2.972944668169928,-0.8876311856462928,0.024940525066702388
195,12.23,2.657178955207948,-0.894621505975203,0.022451962906934856
198,12.535,2.3859012972040565,-0.8921672484916598,0.020273530029608012
