epochs,training_loss
0,0.010419671149585245
1,0.008749505549109396
2,0.00867812601066157
3,0.009716249338076638
4,0.013082286250922892
5,0.015329170315338009
6,0.032767083565569934
7,0.2563168213153636
8,0.17644206994304695
9,0.18251148148552862
10,0.3245678026837463
11,0.7276117752968316
12,1.4133390667180745
13,1.2462443606723421
14,1.2177107605221815
15,1.2222657109626887
16,2.3185276096858987
17,3.398180960530058
18,5.471932852100258
19,5.644879349025042
20,8.99075030847695
21,13.177472709644736
22,14.273191504591722
23,19.881543164456936
24,30.883968481813373
25,41.22864547687329
26,53.29991995636914
27,79.53559389612236
28,120.43479149495761
29,160.55192338791755
30,220.85880023051544
31,313.3933940338713
32,417.0720908304696
33,558.7507416808212
34,739.3241497250156
35,943.1426619284008
36,1199.2144226295663
37,1497.8042380564866
38,1877.2862587035172
39,2302.6851914786057
40,2769.013406100414
41,3332.7127127370795
42,3959.463426910056
43,4693.292985564511
44,5501.546279463013
45,6402.692341044284
46,7440.080985875325
47,8570.999876950405
48,9847.452635766884
49,11246.13973249029
50,12825.438052433175
51,14597.561550694561
52,16539.577878625696
53,18678.972764553524
54,21059.849283207754
55,23627.84303435592
56,26422.369761154063
57,29467.911073878106
58,32743.588261282846
59,36258.12013336048
60,40053.457137038524
61,44132.1476390167
62,48565.588477643745
63,53318.564671805434
64,58410.672368764426
65,63869.32769951141
66,69668.61858781827
67,75814.85576686903
68,82320.68476273224
69,89190.74060015292
70,96451.31532835765
71,104144.18387047788
72,112272.63819989274
73,120860.77036986814
74,129910.12753248983
75,139456.94260844958
76,149501.9959559912
77,160064.2708863954
78,171153.34016885934
79,182779.8018020542
80,194957.3337817281
81,207708.26246050088
82,221056.6016011082
83,235005.94982817108
84,249588.70783431432
85,264814.7590617334
86,280709.8763701178
87,297266.666387973
88,314514.3741519169
89,332450.2585732207
90,351103.3643540832
91,370478.2153432128
92,390589.18715967017
93,411448.2803021262
94,433073.6073659436
95,455474.88468200463
96,478677.2004531433
97,502725.94793982635
98,527600.3269715955
99,553352.859563728
100,579972.4139772041
101,607473.3614689333
102,635880.4489497126
103,665217.2237829643
104,695475.6955227966
105,726686.2316519491
106,758879.4223419821
107,792043.7872526728
108,826238.4084605689
109,861477.6888708891
110,897756.4595208168
111,935087.0935762549
112,973495.4145416319
113,1013014.3386168198
114,1053652.0946525359
115,1095438.527031415
116,1138321.733798997
117,1182410.6274189882
118,1227704.5202045902
119,1274204.7802492238
120,1321953.9333782757
121,1370980.1023804215
122,1421299.7574119165
123,1472925.711632986
124,1525879.980957164
125,1580198.8392550317
126,1635863.023936946
127,1692901.6497389327
128,1751400.6410491902
129,1811339.3619703348
130,1872767.9884381592
131,1935668.8421583988
132,2000096.1664167203
133,2066069.4574819594
134,2133604.6698195315
135,2202739.3464569184
136,2273446.6431403356
137,2345779.2864992754
138,2419789.3643076154
139,2495426.6615483337
140,2572724.81710657
141,2651743.3656587014
142,2732538.0687626414
143,2815126.3078488773
144,2899456.696718932
145,2985603.027791335
146,3073595.023885105
147,3163429.4050953537
148,3255092.560591421
149,3348633.752715336
150,3444046.8515572967
151,3541339.6096489914
152,3640569.201848601
153,3741772.1571972803
154,3844959.0720769316
155,3950189.473662316
156,4057420.554303837
157,4166728.8740989617
158,4278175.643614279
159,4391732.077574444
160,4507407.605177896
161,4625334.411683032
162,4745456.860237903
163,4867886.837408336
164,4992579.639572183
165,5119548.9314846955
166,5248843.247388982
167,5380454.855167912
168,5514475.935537575
169,5650962.9050911525
170,5789889.705377052
171,5931298.012395317
172,6075152.588969609
173,6221492.425512621
174,6370394.937879769
175,6521801.077700861
176,6675776.89156449
177,6832355.629721346
178,6991608.475829813
179,7153488.315974544
180,7318063.603144047
181,7485465.451966882
182,7655612.875948479
183,7828425.060335514
184,8004071.257748005
185,8182523.703981551
186,8363801.646205488
187,8547951.99390211
188,8735073.11548654
189,8925109.32397078
190,9118094.229724621
191,9314007.325974194
192,9513007.327460736
193,9715166.536401276
194,9920444.878867501
195,10128791.975191664
196,10340237.015335768
197,10554840.739579024
198,10772663.699533591
199,10993656.466612536
200,11217978.229542883
