epochs,mean_len,std_len,mean_returns,std_returns
0,9.3625,0.1916213714594486,-0.9194125375075187,0.0017687349993056134
4,9.424999999999999,0.14361406616345082,-0.9188311733975786,0.0013274441403594234
8,9.412500000000001,0.1634587103827754,-0.918949988427803,0.001510289443202565
12,9.35,0.20310096011589873,-0.919532517619428,0.001871311609197709
16,9.25,0.13693063937629135,-0.9204553089171232,0.0012694852149074387
20,9.2625,0.19485571585149886,-0.9203434144721072,0.0018056745979571885
24,14.7,9.43987552884041,-0.8762806978727207,0.07649527885419635
28,15.1,9.844414660100416,-0.8739978794646336,0.07780850063860278
32,18.5875,15.481051926468044,-0.8513941252455537,0.11325206783687253
36,22.0875,16.248668214656856,-0.8215398101459876,0.12013833671589146
40,39.637499999999996,17.338266024894185,-0.6938945998217096,0.11219355887261197
44,18.65,6.066197326167358,-0.8401732777990685,0.050414338074454015
48,12.2125,2.119957251927501,-0.8939224187872246,0.01901067799018452
52,10.0,0.590550590550886,-0.9136049235423942,0.0053613791523896845
56,9.7,0.21505813167606583,-0.916313257114292,0.0019877530172246125
60,9.3375,0.14306903927824505,-0.9196444004136275,0.0013291232764646636
64,9.4375,0.10231690964840562,-0.9187111816348525,0.0009471161062065398
68,9.350000000000001,0.03535533905932725,-0.9195278922451391,0.00031967162206268424
72,9.425,0.16770509831248462,-0.9188311850483953,0.001553222564535684
76,9.3875,0.1138804197393036,-0.9191865000098345,0.0010509899854594517
80,9.450000000000001,0.20916500663351922,-0.9186074544124472,0.001934819531369996
84,9.3875,0.18498310733685913,-0.9191876417898857,0.0017179534041412673
88,9.3375,0.06495190528383296,-0.9196501908696013,0.000593892414720302
92,9.275,0.11456439237389579,-0.9202292248161716,0.001054973008524823
96,9.2375,0.12437342963832712,-0.920569486922242,0.001147914135173548
100,9.4,0.09999999999999964,-0.9190676616779764,0.0009274225267204563
104,9.412500000000001,0.11924240017711846,-0.9189546138020921,0.001103040370608715
108,9.299999999999999,0.0612372435695796,-0.9199892645923531,0.0005650765084437159
112,9.387500000000001,0.06495190528383306,-0.919178367739674,0.0005966910316687842
116,9.3125,0.21901769334919036,-0.919886690800816,0.002023029756206942
120,9.225,0.11456439237389618,-0.9206894786849682,0.001064757181900847
124,9.35,0.061237243569578874,-0.9195371895969845,0.0005736022428902448
128,9.325,0.07500000000000018,-0.9197620387113502,0.0006967380972495085
132,9.4875,0.13404756618454486,-0.918267192306377,0.001232840158372784
136,9.3875,0.20728904939721265,-0.9191818629847285,0.0019167762842179305
140,9.4,0.061237243569578874,-0.9190665082471083,0.0005688879009092963
144,9.225,0.13462912017836237,-0.9206871252199647,0.0012444555277911018
148,9.2,0.10606601717798175,-0.920920176509392,0.0009836629490217682
152,9.3125,0.0739509972887455,-0.9198704379113118,0.0006792286331692849
156,9.325,0.1299038105676662,-0.9197632270946687,0.0012011506016007506
160,9.4125,0.14737282653189512,-0.9189557788837771,0.0013621651960716496
164,9.4375,0.06495190528383296,-0.9187216207667489,0.0006029977039570869
168,9.5125,0.14737282653189512,-0.9180330225385321,0.0013614023717526305
172,9.325,0.02499999999999947,-0.9197597435004309,0.0002307681863692145
176,9.4125,0.04145780987944228,-0.918947681566067,0.0003853743285047664
180,9.3,0.0612372435695796,-0.9199904063724043,0.0005707897735190905
184,9.325,0.10307764064044148,-0.919758578418746,0.0009520299151895024
188,9.4,0.0790569415042092,-0.9190641780837385,0.0007339485689311495
192,9.4625,0.15562374497485876,-0.918494394885746,0.0014341205478089374
196,9.4125,0.1430690392782447,-0.9189546371037257,0.0013252642085567533
200,9.3625,0.11924240017711822,-0.9194183512651264,0.0010998350989729112
