steps,return0
0,4.913808730588996
5000,4.115716067287603
10000,4.771330789368018
15000,3.620696697367812
20000,4.183350630826768
25000,3.9223596525165165
30000,5.160262293493092
35000,4.8375135106285665
40000,4.455002624423007
45000,5.231830142805245
50000,4.305390395615033
55000,4.151095954369783
60000,4.420207204622466
65000,4.9189841489583115
70000,5.06835739131646
75000,4.461172683119463
80000,5.322773962442341
85000,3.9834174102534816
90000,4.626817989451515
95000,4.878161723413811
100000,4.531446694797268
105000,4.5812623795162
110000,5.6291977585850805
115000,5.165849675714453
120000,5.047488183471096
125000,5.419848405027722
130000,4.309133623997917
135000,5.012530524441999
140000,4.94561929282808
145000,5.115986644553516
150000,4.846097390912858
155000,4.669098965182776
160000,4.656030305252974
165000,4.9102835718137525
170000,4.363569276238122
175000,4.408995601163104
180000,4.269410773616651
185000,4.71298182035036
190000,4.7808577999271
195000,5.177602216902527
