steps,return0
0,0.9672064120714744
5000,0.8213151333903553
10000,-0.7758186131773354
15000,-0.6392356183392434
20000,-0.321094703896536
25000,0.1860010739146726
30000,-0.24117575996089916
35000,0.38744478897765344
40000,-0.43814934693067553
45000,-0.7294903764178885
50000,-1.52962045475795
55000,-0.5834181100014969
60000,-0.8593141505667367
65000,-1.5693372701972945
70000,0.19844113707533478
75000,-0.5108819283009354
80000,-0.6933575792699791
85000,-1.5974606528409647
90000,-0.07100387940697797
95000,-1.6787576826734827
100000,-0.4379517949796477
105000,-0.12686597713426107
110000,0.41769253888248825
115000,0.028496036501438348
120000,-0.7483719565558584
125000,-0.49344280236221916
130000,0.39432689424938705
135000,0.036149303156244296
140000,-1.1856942959011394
145000,-0.6001555141604232
150000,-0.3122724647711965
155000,-0.7799418874564044
160000,-0.26198049659815326
165000,0.8306315207973267
170000,-0.09918328394270479
175000,-0.19399216138805245
180000,-0.24331229106599678
185000,0.894524668333812
190000,-0.7401531774699045
195000,-1.0632649011267978
