steps,loss0
0,0.0
1000,0.0
2000,0.0005448419833555818
3000,0.000593039090745151
4000,0.0002342920925002545
5000,0.0086358692497015
6000,0.0009057295974344015
7000,0.0012934721307829022
8000,0.0013008277164772153
9000,0.00047248578630387783
10000,0.0022832569666206837
11000,0.0008852527244016528
12000,0.0014731495175510645
13000,0.0003165322123095393
14000,0.002240783767774701
15000,0.0001569897576700896
16000,0.004192694090306759
17000,0.0004997239448130131
18000,0.000565006397664547
19000,0.013001927174627781
20000,0.0027184593491256237
21000,0.000224194023758173
22000,0.0006189666455611587
23000,0.002336958423256874
24000,0.00020175847748760134
25000,0.002694300841540098
26000,0.001704731723293662
27000,0.0006709189037792385
28000,0.006115614902228117
29000,0.010017035529017448
30000,0.001049608108587563
31000,0.001729567302390933
32000,0.0025725485756993294
33000,0.0007845800719223917
34000,0.0037858691066503525
35000,0.0032474948093295097
36000,0.0007118063513189554
37000,0.0016448148526251316
38000,0.0010667070746421814
39000,0.0012181849451735616
40000,0.0014008649159222841
41000,0.0018106651259586215
42000,0.000803113158326596
43000,0.0014213345712050796
44000,0.000647210341412574
45000,0.0006354655488394201
46000,0.0009458753629587591
47000,0.0016522299265488982
48000,0.0026278020814061165
49000,0.0006247134879231453
50000,0.0015258502680808306
51000,0.0024855707306414843
52000,0.0006410012138076127
53000,0.0005454919300973415
54000,0.0022927862592041492
55000,0.0021309733856469393
56000,0.0006452800007537007
57000,0.0007839176105335355
58000,0.001470186747610569
59000,0.0014170631766319275
60000,0.0035650222562253475
61000,0.0026674270629882812
62000,0.003606935264542699
63000,0.002086269436404109
64000,0.0005424600094556808
65000,0.0010156482458114624
66000,0.0009941848693415523
67000,0.0013387451181188226
68000,0.004610419739037752
69000,0.0013487692922353745
70000,0.0016271432396024466
71000,0.0008084454457275569
72000,0.006749323569238186
73000,0.001112036989070475
74000,0.005006745457649231
75000,0.0024304522667080164
76000,0.0005800334038212895
77000,0.0007646644371561706
78000,0.008670699782669544
79000,0.00868625845760107
80000,0.00158096628729254
81000,0.0011897236108779907
82000,0.0008184806210920215
83000,0.0011552581563591957
84000,0.0031854775734245777
85000,0.0018447854090481997
86000,0.0029962798580527306
87000,0.0026419605128467083
88000,0.0029564383439719677
89000,0.0026933392509818077
90000,0.003697539446875453
91000,0.0033081225119531155
92000,0.0014126119203865528
93000,0.001076169079169631
94000,0.0036550569348037243
95000,0.0020850002765655518
96000,0.0049161543138325214
97000,0.0032497416250407696
98000,0.0014520916156470776
99000,0.0017409357242286205
100000,0.0036372763570398092
101000,0.0028562250081449747
102000,0.00260475417599082
103000,0.0011545789893716574
104000,0.005106600467115641
105000,0.0021412239875644445
106000,0.0017529551405459642
107000,0.005007475148886442
108000,0.0035943160764873028
109000,0.002323925495147705
110000,0.002020041225478053
111000,0.005019810516387224
112000,0.0013454696163535118
113000,0.0021786277648061514
114000,0.0013195646461099386
115000,0.0011554202064871788
116000,0.008921303786337376
117000,0.0030109279323369265
118000,0.0013126339763402939
119000,0.0018239892087876797
120000,0.0058731213212013245
121000,0.0016692527569830418
122000,0.002282853936776519
123000,0.001419824198819697
124000,0.004440885037183762
125000,0.0028325130697339773
126000,0.000997789204120636
127000,0.0011233105324208736
128000,0.004704821854829788
129000,0.0029826494865119457
130000,0.004654629155993462
131000,0.0025553922168910503
132000,0.002608973067253828
133000,0.002008957788348198
134000,0.0022003871854394674
135000,0.011972649954259396
136000,0.003637380665168166
137000,0.0033431409392505884
138000,0.0018226930405944586
139000,0.003327040933072567
140000,0.002054844982922077
141000,0.002796206157654524
142000,0.00242650811560452
143000,0.0017673565307632089
144000,0.0038839466869831085
145000,0.0018760160310193896
146000,0.00234797690063715
147000,0.0007851479458622634
148000,0.0008420688100159168
149000,0.0019385365303605795
150000,0.004766163881868124
151000,0.0009063876932486892
152000,0.0035601677373051643
153000,0.006481210235506296
154000,0.00580932991579175
155000,0.0025284835137426853
156000,0.001838918775320053
157000,0.0007291751680895686
158000,0.002041406696662307
159000,0.0026861317455768585
160000,0.005804678425192833
161000,0.0033152156975120306
162000,0.001629344653338194
163000,0.006800702307373285
164000,0.0025091813877224922
165000,0.00381703139282763
166000,0.007309325039386749
167000,0.002727184211835265
168000,0.004328315146267414
169000,0.0034960866905748844
170000,0.004313651006668806
171000,0.0036527039483189583
172000,0.0051992516964674
173000,0.0022681804839521646
174000,0.012816845439374447
175000,0.0038039248902350664
176000,0.005202834494411945
177000,0.005275435745716095
178000,0.013502364046871662
179000,0.0014112112112343311
180000,0.003627111902460456
181000,0.0032503032125532627
182000,0.002349301939830184
183000,0.0015372764319181442
184000,0.005610464606434107
185000,0.002972824266180396
186000,0.00355412345379591
187000,0.004825072828680277
188000,0.0018847521860152483
189000,0.003752241376787424
190000,0.0016378660220652819
191000,0.0013263530563563108
192000,0.0023547010496258736
193000,0.003766442183405161
194000,0.001436643535271287
195000,0.006078807171434164
196000,0.006940106395632029
197000,0.002838877961039543
198000,0.006373275071382523
199000,0.004035597201436758
