epochs,mean_len,std_len,mean_returns,std_returns
0,18.27,9.16567509788559,-0.846051259194537,0.07113842120706733
3,18.135,8.569336322026345,-0.8483779772802228,0.06516067477063167
6,21.525,9.38954871120013,-0.8222693053020727,0.0696689768719221
9,24.220000000000002,12.398612825634972,-0.8029237258850792,0.09146292367419967
12,19.965,13.443252024714852,-0.8367254835990783,0.09663034472536863
15,21.919999999999998,16.40683089447807,-0.8244295615457113,0.1199249285589973
18,17.095,9.832356024880305,-0.8586084128284851,0.07350108316983475
21,12.599999999999998,3.92116054249249,-0.8915572699342116,0.03336597516035905
24,13.6,8.593893180625413,-0.886309479845044,0.06367743913493695
27,14.665000000000001,13.478928926290843,-0.8801719772318372,0.09683348045129656
30,15.02,11.327735872626974,-0.8747379428937407,0.08866963221409849
33,14.814999999999998,14.20269428664857,-0.880408621498528,0.09807071169645307
36,10.934999999999999,4.5084947598949245,-0.9060042292488701,0.038333445780473555
39,9.465,0.2811138559374121,-0.9184734072440843,0.00258468378749055
42,9.4,0.18439088914585794,-0.919070432242223,0.0017015066713901622
45,9.395,0.17528548142958106,-0.9191188949799874,0.0016206458952948896
48,9.379999999999999,0.19131126469709012,-0.919249426071635,0.0017675874124727807
51,9.3,0.17320508075688773,-0.9199950736896338,0.0015986819251136775
54,9.4,0.11618950038622239,-0.9190709029352234,0.0010749765775945291
57,9.35,0.13784048752090186,-0.9195332213287657,0.0012736431201643837
60,9.370000000000001,0.2111871208194288,-0.9193468082591844,0.00195569068957062
63,9.335,0.11191514642799699,-0.9196697828832143,0.0010371705199742809
66,9.364999999999998,0.18580904176062032,-0.9193934022059261,0.0017150708397901551
69,9.379999999999999,0.17492855684535893,-0.9192531496726998,0.0016167264664216437
72,9.319999999999999,0.2776688675382964,-0.9198086559597256,0.0025690322679317312
75,9.39,0.13000000000000006,-0.9191645801630152,0.0012019447753322296
78,9.46,0.16552945357246848,-0.9185135418381556,0.0015276995600024819
81,9.405,0.14221462653327907,-0.919018739898028,0.0013190728217889849
84,9.325000000000001,0.16918924315688635,-0.9197601885616346,0.0015655432393511975
87,9.349999999999998,0.13228756555322954,-0.9195346101061339,0.0012200401143818527
90,9.364999999999998,0.17613914953808535,-0.9193929454939058,0.0016263522794870134
93,9.315,0.1830983342360055,-0.9198566526648161,0.001690471230023468
96,9.335,0.1643928222277357,-0.9196688461575396,0.001519532204537312
99,9.315000000000001,0.13610657588816233,-0.9198534044170786,0.0012605414900027077
102,9.365,0.14500000000000013,-0.9193924887818852,0.0013435049019215137
105,9.275000000000002,0.11456439237389598,-0.9202224976345231,0.0010633569721088326
108,9.355,0.17095320997278768,-0.9194861706700035,0.0015800283834494233
111,9.385,0.1703672503740081,-0.9192070124379784,0.0015759611533826387
114,9.345,0.20426698215815484,-0.9195765763484236,0.0018894244968172315
117,9.385000000000002,0.12051970793193933,-0.9192056190002834,0.0011158414870119362
120,9.38,0.198997487421324,-0.919251285542004,0.0018409157706090614
123,9.360000000000001,0.1280624847486571,-0.9194344503638481,0.0011839052098119739
126,9.395,0.15239750654128217,-0.9191207684313367,0.0014094297105249726
129,9.254999999999999,0.12932517156377568,-0.9204130956775167,0.0011978165876055044
132,9.34,0.12000000000000013,-0.9196278213012515,0.0011093195133313179
135,9.345000000000002,0.14221462653327877,-0.9195765949897308,0.0013170052595200133
138,9.325,0.164696690920006,-0.9197620526923304,0.001520248771276695
141,9.335,0.1747140520965615,-0.9196697782228875,0.0016150620802971077
144,9.275,0.14874474780643512,-0.9202262212355882,0.0013785898771536116
147,9.355,0.19422924599555028,-0.9194842925583273,0.0017960227547287112
150,9.510000000000002,0.14628738838327796,-0.9180517034582675,0.001349548407605923
153,9.395,0.16500000000000004,-0.9191189136212945,0.001527475548826557
156,9.379999999999999,0.12489995996796806,-0.9192508288299834,0.0011564797614568175
159,9.325000000000001,0.1470544116985273,-0.9197629800973516,0.001358631291811511
162,9.194999999999999,0.16499999999999973,-0.9209639789204168,0.0015303061615960262
165,9.379999999999999,0.2315167380558043,-0.9192531543330267,0.0021467143264139506
168,9.33,0.1307669683062203,-0.9197154540852617,0.0012072752501014188
171,9.415,0.14150971698084913,-0.918926936121586,0.001310147987841428
174,9.435,0.1789553016817327,-0.9187428392343939,0.0016550013590060518
177,9.3,0.24083189157584572,-0.9199973805513698,0.0022284813783432227
180,9.385,0.1858090417606207,-0.9192074644896723,0.001719461778248536
183,9.3,0.18439088914585777,-0.9199973991926769,0.0017086846396708985
186,9.31,0.19974984355438158,-0.9199000170051276,0.0018515573830450755
189,9.3,0.18439088914585786,-0.9199881018408315,0.0017050137176649928
192,9.36,0.19209372712298553,-0.9194386166959532,0.0017737879398782434
195,9.39,0.1609347693943109,-0.9191603951896029,0.0014873322816571634
198,9.32,0.11224972160321826,-0.9198044756466404,0.0010374326424556696
