epochs,mean_len,std_len,mean_returns,std_returns
0,23.585,17.17243503408879,-0.8137020225829554,0.12532586165902565
3,27.900000000000006,20.85969798439086,-0.7890919045202681,0.14323461897829373
6,25.640000000000004,17.609057328545443,-0.7992528731526184,0.1287357450754148
9,28.51,21.097781873931677,-0.7870224293061926,0.14248859035046524
12,26.129999999999995,17.335472303920653,-0.7968009477889019,0.12554824189765115
15,26.709999999999997,17.13547198066047,-0.7967507832822939,0.11610080911690507
18,24.875000000000004,15.24695461395488,-0.804046901215522,0.11185777993709478
21,23.874999999999996,13.303143425521656,-0.8081826111197495,0.10258330615682984
24,23.21,12.789698980038583,-0.8121957420037533,0.0978574708570805
27,22.089999999999996,12.598309410393126,-0.8200445074967788,0.09651128832072581
30,21.6,11.806798888775907,-0.8244299073256247,0.08936383779125706
33,20.765,10.829359399336601,-0.8286045830436608,0.08399225558771625
36,17.759999999999998,9.060099337203761,-0.8513718631788165,0.07113564985712086
39,18.07,9.200304342792144,-0.8474348885970209,0.07445149215460838
42,18.44,9.405578132151154,-0.8449056645197599,0.07624076658803734
45,17.04,8.640162035517621,-0.8556686725156238,0.07063991945035115
48,16.375000000000004,7.109052327842298,-0.8613548033646508,0.058594546891418575
51,15.985,7.7993605507118335,-0.8645651399819048,0.06308995415632464
54,15.275,6.398603363234824,-0.8699707614109394,0.05343594168196129
57,15.61,6.731040038508166,-0.8672450793950635,0.055790079254927516
60,15.684999999999997,7.183037310219124,-0.8684311823432209,0.05554304281875058
63,15.690000000000001,8.153459388504979,-0.8677476794632009,0.06339528731487461
66,16.615000000000002,10.799190941917825,-0.8634660025205717,0.07724547492658855
69,17.29,13.274144040200861,-0.8606452571370239,0.09026400466739888
72,14.385000000000002,7.791342952277226,-0.8795960071730129,0.05849078236524584
75,14.839999999999998,8.810584543604357,-0.8771049242038866,0.06342519966937124
78,16.795,13.281574643091082,-0.8656144219618053,0.08776094771174292
81,16.57,13.288457397305375,-0.8680111129501207,0.08613305807287751
84,17.37,14.33830882635745,-0.8614345309044982,0.09711365586129979
87,19.365,17.7930049457645,-0.850310685943619,0.11129464009740936
90,18.095,14.40984819489782,-0.8561215849549069,0.09841884444133493
93,21.145000000000003,24.506442520284335,-0.8449346114643708,0.13854657076528326
96,21.515,24.55071332975887,-0.8439118996851004,0.13528042514203653
99,22.830000000000002,28.068925878985823,-0.838321020149697,0.15089668258187466
102,22.214999999999996,25.764889384586922,-0.8414140427069867,0.135796958193959
105,22.509999999999998,23.78720033967848,-0.8350360509519588,0.1357983389323403
108,24.35,29.76995969093677,-0.8267543204524989,0.16324009062344402
111,26.240000000000002,31.995709087313568,-0.8157985289267599,0.17205655113420862
114,23.745,27.500104090712092,-0.8302844972463121,0.14908891444697808
117,25.185000000000002,29.45774134247227,-0.8187135908483387,0.16823646973804807
120,26.360000000000003,32.82724325921993,-0.8174452302631627,0.17147973452387202
123,29.054999999999996,35.89924407282137,-0.8010299430838469,0.18940678901172703
126,30.189999999999998,36.62567269006809,-0.7967407478378649,0.19208774562415185
129,30.1,36.6260972531882,-0.7964914625251814,0.1846462947984898
132,30.205000000000002,33.65145947800779,-0.7905907688862954,0.1892734681834164
135,33.62500000000001,41.41117149997088,-0.7788565804346489,0.21177253936709964
138,33.72,35.61965889786144,-0.7745922009578874,0.19395630432354466
141,37.88,39.67714833503033,-0.7518159392605076,0.2089625389721205
144,34.34499999999999,37.20588965473073,-0.7702875247785678,0.19285717436482475
147,37.459999999999994,36.723308674464505,-0.7472200109476412,0.203485603453649
150,39.875,36.389519438981324,-0.7345158301333364,0.20384069416171618
153,42.025000000000006,38.587862405165694,-0.725507691495311,0.21162655013125142
156,43.400000000000006,39.116780286726055,-0.7163531314464074,0.21853362062183346
159,47.625,44.394364788788224,-0.7016621163034025,0.23516797193345318
162,48.31,45.74403130464126,-0.6913089407171235,0.24888909794674718
165,47.915,45.69010861225873,-0.696179240264257,0.24382197422544902
168,50.795,47.685707764486416,-0.6847575142820548,0.2513953990043396
171,52.739999999999995,52.024993032195596,-0.6784694456214215,0.26316677604317723
174,51.959999999999994,51.683328066214926,-0.6870559994291311,0.2564600954729199
177,50.67999999999999,49.39469202252403,-0.689490499354474,0.2514187398618538
180,51.635000000000005,49.988588947878895,-0.6792660821621208,0.2598705213686346
183,51.545,48.583312206970824,-0.6787922127600586,0.2586686916848781
186,51.69500000000001,50.07368295821668,-0.6816315515534261,0.25816684607206675
189,56.645,55.08372922197625,-0.6634553905671012,0.2755575120634979
192,58.31500000000001,58.402025007699855,-0.6572372996595218,0.28399107934619505
195,56.250000000000014,54.72634192050479,-0.664038868694324,0.2745600063023405
198,57.790000000000006,57.8421896196885,-0.6593896028587112,0.2837589883793115
