episode,mean_loss,std_loss
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
56,0.0,0.0
57,0.0,0.0
58,0.0,0.0
59,0.0,0.0
60,0.0,0.0
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0
64,0.0,0.0
65,0.0,0.0
66,0.0,0.0
67,0.0,0.0
68,0.0,0.0
69,0.0,0.0
70,0.009256915841251611,0.040349960680876575
71,0.0401134442538023,0.12350853013644297
72,0.058678719913586974,0.1866155242410463
73,0.3647668605670333,0.7275370130467405
74,0.17082585515454413,0.2932528495595704
75,0.25371057842858136,0.42800441266589956
76,0.19467498171143233,0.219571361297689
77,0.4611939440015703,0.4876640146462312
78,0.6809531138744205,0.7321357996669788
79,0.43131965114735066,0.21724716072616676
80,0.4197723899735138,0.2089390707917654
81,0.35186930843628944,0.23601289450019944
82,0.31883119316771624,0.23739771408984386
83,0.36608652138384057,0.3668264697064887
84,0.40902924155816434,0.37901897018549763
85,0.3339586101763416,0.35733739680367504
86,0.27856715911766516,0.19347198562572204
87,0.2342087994562462,0.08977062150904305
88,0.24296125776600092,0.15076409615113426
89,0.2118836216046475,0.07114421027586401
90,0.16714725529309363,0.053450353481347405
91,0.22729514685925095,0.08263106819570955
92,0.30422439533285794,0.1903228725231837
93,0.22848849298316054,0.08332908281468741
94,0.19226050168508663,0.05378339554714016
95,0.268215473392047,0.18335798249272417
96,0.3702589932945557,0.3019604987610788
97,0.35387265181634575,0.2600086001209604
98,0.3134284831816331,0.1925713268157491
99,0.27909663806203755,0.15882253097223578
100,0.3456212274526479,0.32097879680154073
101,0.3337560974061489,0.17221086391491763
102,0.3750735595589504,0.2026460751629981
103,0.4748634604678955,0.272855776563516
104,0.36370349828503096,0.16918782613448996
105,0.4716694782153354,0.28319340870608806
106,0.6070509760582354,0.2676399443535822
107,0.4631866131006973,0.23314576487050084
108,0.6248773633080418,0.2669316867696883
109,0.5454736510640942,0.21416762545923768
110,0.49868752017064255,0.2614572818445001
111,0.5246622509963345,0.19496279496279956
112,0.5306831552676158,0.20734252782340698
113,0.5813514432840747,0.25748330531043306
114,0.446985840065463,0.23459569864310048
115,0.555269818288798,0.207332680202183
116,0.42615460935630833,0.21636969922645116
117,0.5267461200419348,0.2301298163060048
118,0.40665435886185153,0.22788048228052932
119,0.5167704214225524,0.1875102118310571
120,0.4859873587876791,0.1315776925916709
121,0.5404472555208486,0.24538269094959414
122,0.44475454725761665,0.2419363484435917
123,0.43318079258751824,0.1276890220695471
124,0.3602134058965021,0.21661969823601512
125,0.4823557141964557,0.22440276517585814
126,0.43036303000408227,0.19915126595351054
127,0.4106952909336542,0.22288895433669365
128,0.4565792024470284,0.15845437492687958
129,0.4625173375447048,0.2044253091956278
130,0.36491126626060577,0.15354070818149584
131,0.3865849967813119,0.17463366691845947
132,0.3714084862935124,0.1895544340160701
133,0.3588383150519803,0.181101118024787
134,0.37009040474658833,0.13631223445269816
135,0.3707338049338432,0.1875196209232952
136,0.28552090946323005,0.1589764205860872
137,0.2578886308212532,0.16557361662070968
138,0.34848544536507686,0.16847439249687612
139,0.33596949829152434,0.1461399513613685
140,0.32372683019639226,0.1534241825053418
141,0.3305718120900565,0.1204262076916704
142,0.2850962459058792,0.116333107670682
143,0.22678103615398867,0.1479869213294421
144,0.23320315399942046,0.10272011355038638
145,0.28960727983430845,0.09848760598095505
146,0.2630959328089375,0.16010303091244701
147,0.24786811429221417,0.15638781074433328
148,0.2172056547140528,0.14806154734679436
149,0.23858438816168928,0.1371313970280239
150,0.2624248105508741,0.12101045579398237
151,0.22781011731858597,0.11588852713414961
152,0.2824078563047806,0.10886958542411106
153,0.2355850160762202,0.10482712748967482
154,0.23216349683789303,0.1224398125006761
155,0.18943549290997908,0.13936062874751257
156,0.15692615684383782,0.07967743367540897
157,0.21801918319069954,0.12601549858722869
158,0.18502834475511917,0.09860686008792713
159,0.12116338139530854,0.0691648474011912
160,0.16300285108809476,0.10677781582626493
161,0.18498147414138658,0.1052380078864598
162,0.23089517925254768,0.10988438057585889
163,0.16275971371323977,0.0999744046843744
164,0.21892413953100914,0.09496860878508756
165,0.1479417849186575,0.08963056512104138
166,0.1888711759085709,0.0958596388455497
167,0.18304242159210843,0.11950996841896618
168,0.19166911652937416,0.10010703603848115
169,0.15752794374202495,0.1004024994420016
170,0.1822746161829855,0.09323189986469356
171,0.153743881597984,0.11826719110058073
172,0.1788851367207826,0.07609335736524059
173,0.13542473373454414,0.08752481902029732
174,0.15696697457715345,0.091148973992557
175,0.19733882074142456,0.12386332252116869
176,0.1340348330530105,0.09796515423731078
177,0.14366857823661122,0.07716138996355108
178,0.12406763528269948,0.07650853227699062
179,0.1493998622187064,0.10323118537807006
180,0.14342196258912737,0.07474185725701334
181,0.15978412360600486,0.11871572038894027
182,0.12462371563742636,0.07201478921861795
183,0.13315685247871442,0.06486419257406457
184,0.12928003090455603,0.0806364983750541
185,0.11503891242755344,0.071470717110627
186,0.11174100578209618,0.07777106058924871
187,0.14859336288827762,0.09545039694862201
188,0.137050271123735,0.08529129617355329
189,0.13176681233635462,0.09080589849954518
190,0.1535906792516471,0.07407019421358364
191,0.14743114805169172,0.08346476168527726
192,0.1486755037214607,0.09570852966534149
193,0.12947741816387862,0.07427493831106968
194,0.14815550707207875,0.09377310334217344
195,0.14774332772285562,0.11119935076822707
196,0.0999479488862562,0.05842285006030718
197,0.11361899430921767,0.08496652453461588
198,0.12262194968425319,0.07765823999932601
199,0.1241990228085342,0.09284280524332794
200,0.12731754066626308,0.08746759209638533
201,0.12680715647366014,0.06535142335816545
202,0.14643785642110743,0.11415163963130308
203,0.13996297669073102,0.08619756042233481
204,0.10882957290486957,0.0693278646800666
205,0.1402796046822914,0.10553903160206606
206,0.15728958210784186,0.0840927452420584
207,0.14705007948941784,0.14601885176611867
208,0.14135791226290167,0.14732232056112715
209,0.15466906071633274,0.15250419844670668
210,0.11275923770554072,0.12251017006655143
211,0.10850322287078598,0.09451670784403224
212,0.15062097914451442,0.0896484883258947
213,0.11321453373857367,0.10190223296502866
214,0.16278476957886595,0.13160136323579513
215,0.130356094011222,0.12581606083712996
216,0.1338605614630069,0.11021771131547377
217,0.14826225707656704,0.10186667346931466
218,0.12462028360023396,0.14110073892695713
219,0.15230933337334135,0.1154301476022053
220,0.15492063747515203,0.17334754425665955
221,0.1404125284163456,0.10480700225055915
222,0.13340865340178426,0.09608232013430396
223,0.11207602072936425,0.08444371087898611
224,0.11149147558280674,0.10175389095231917
225,0.17192755749092611,0.10471993445207685
226,0.17708838215730793,0.19951779412685133
227,0.15896872182856897,0.11007931367749688
228,0.18428155898182014,0.20110117917565257
229,0.16876775449054549,0.1997931736573648
230,0.18970020379056224,0.22736541602714236
231,0.17914481196785345,0.17410299868677603
232,0.12082660894811852,0.08500355761127733
233,0.15960382090852362,0.11766533814852596
234,0.15187477925828716,0.1514982488467036
235,0.161917583559989,0.1618389211585897
236,0.18706247444170004,0.2291493647877309
237,0.16701100832760857,0.1408069502182691
238,0.11369875478303584,0.09672005254824369
239,0.14939229535302728,0.18933829026550125
240,0.14108999178897647,0.11364994474990298
241,0.13657909662542805,0.11141198786543877
242,0.145726084004491,0.1360735220825458
243,0.18654812765416864,0.24003859754763757
244,0.1388316179647518,0.09801925514122098
245,0.1293703437622753,0.11970616025971344
246,0.18193421393334575,0.15086018822589506
247,0.1387420308430592,0.10608311313098434
248,0.19761121397350506,0.1773969808404725
