episode,mean_len,std_len,mean_returns,std_returns
0,9.239999999999998,0.37202150475476564,-0.9113386380326498,0.00340892535931773
20,9.41,0.343365694267788,-0.9097847175123391,0.0031478697986074998
40,9.389999999999997,0.2998332870112991,-0.9099692572237779,0.002747214095206165
60,9.28,0.29257477676655597,-0.9109732311336562,0.002679685205155534
80,13.2,8.997332938154507,-0.879870554145105,0.06748030692369753
100,54.4,42.9516006686596,-0.6427453494746852,0.22183391157075952
120,135.94000000000003,33.28946379862553,-0.27792735484270426,0.08455203683039521
140,174.98999999999998,20.854493520582082,-0.17795906273389214,0.039976661095005
160,169.19,26.630769797360347,-0.19008965925205887,0.05278042424151391
180,166.73000000000005,27.71846135700898,-0.1956959196209935,0.05657881866229353
200,160.06,31.32584236696597,-0.2105410558728225,0.06213936691543985
220,143.7,34.14454568448671,-0.24962553893145997,0.07839608851874862
240,144.97999999999996,31.704504411833973,-0.24646290209359148,0.07416901189001157
260,150.05000000000004,33.25831474984865,-0.23416506759607966,0.07271759662735965
280,141.70999999999998,33.57489985093031,-0.25474082137101617,0.07714170564278523
300,150.39000000000001,33.0964333425824,-0.23322680096881018,0.07064997723867772
320,146.69,37.33472780133799,-0.2443404423555718,0.08003766158655937
340,152.50999999999996,35.166772669666464,-0.2299864291328586,0.07750451498402607
360,141.4,38.928909566028175,-0.25985095111306344,0.08549341671019675
380,145.89000000000004,39.759953470797726,-0.2500217562329337,0.09388304404565476
400,159.91000000000003,41.68781476642784,-0.21973723530280104,0.09575214818329539
420,152.33999999999997,36.279200652715595,-0.23092250527969416,0.07986743332152499
440,145.10000000000002,39.41585975213531,-0.2511463797343173,0.09536351271972492
460,149.99,37.61379932950141,-0.23835739409513534,0.0860723210282244
480,162.45999999999998,39.51729241737091,-0.21278249767426277,0.09001437699599722
500,165.26,37.713822399751535,-0.20541855774146772,0.08237553890205997
520,168.63,40.3307463357672,-0.20170910874715692,0.09285798685451228
540,161.65,39.134684105023766,-0.21474683353651042,0.08820038311938266
560,162.57999999999998,38.408275150024636,-0.21100959829815094,0.08426530857222429
580,160.28,37.65731801390004,-0.2151668664698784,0.08230096104690486
600,177.67000000000002,39.7619051354434,-0.1848781834638125,0.09773751724130322
620,184.86999999999998,33.295962217662364,-0.16730106691862684,0.07582104930116317
640,163.23,43.287932498561304,-0.21575116390674012,0.10239435072312504
660,186.91,24.829053546198647,-0.15858799321469438,0.05042683092611599
680,157.18,42.79494830000382,-0.2268317742617592,0.09985345622826572
700,170.12000000000003,39.736955092206045,-0.19807661929088435,0.09277325538385806
720,175.00999999999996,35.08751772354379,-0.18482389237733635,0.07578317962255712
740,184.78,29.8960800105967,-0.1649365832578526,0.06418350333205586
