episode,mean_loss,std_loss
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0.007072511,0.049507576
27,0.00138177,0.009672389
28,0.000518684,0.00363079
29,0.003819346,0.026735422
30,0.001097597,0.00768318
31,0.00249041,0.017432867
32,0.003653369,0.02557358
33,0.000986935,0.006908548
34,0.002643145,0.018502018
35,0.001877503,0.013142523
36,0.002931176,0.02051823
37,0.002722885,0.019060194
38,0.001232512,0.008627582
39,0.001694241,0.011859689
40,0.004018723,0.020836957
41,0.009686037,0.051174193
42,0.010637675,0.053056632
43,0.005204729,0.025508092
44,0.004691679,0.023168319
45,0.005087918,0.025462677
46,0.006970713,0.03608083
47,0.004796128,0.023545842
48,0.00284178,0.013952091
49,0.00315152,0.015669396
50,0.001731775,0.008483933
51,0.00405877,0.024061254
52,0.003842558,0.01926905
53,0.00375187,0.018816841
54,0.002623518,0.01322656
55,0.004918382,0.025831592
56,0.004774016,0.023427881
57,0.003249067,0.018522262
58,0.008745376,0.050949278
59,0.004851115,0.020403652
60,0.009649067,0.04240011
61,0.0121198,0.052730298
62,0.008777629,0.03572627
63,0.012262279,0.054618169
64,0.007896614,0.04178134
65,0.00551112,0.025378049
66,0.008367666,0.033869081
67,0.012396807,0.052373589
68,0.008404963,0.036399207
69,0.020006443,0.078269532
70,0.06833423,0.178137125
71,0.114462543,0.27083418
72,0.083911554,0.170583693
73,0.118447502,0.184837547
74,0.187111113,0.349732686
75,0.18295465,0.236278831
76,0.214586346,0.273155803
77,0.237341324,0.33082637
78,0.293025079,0.348344928
79,0.257085388,0.265453153
80,0.261411172,0.303470089
81,0.220261422,0.212264509
82,0.233676385,0.421483279
83,0.129828139,0.091337345
84,0.109745557,0.077577123
85,0.126059064,0.159065572
86,0.111433376,0.072063459
87,0.122605938,0.070755008
88,0.107965357,0.052860123
89,0.125495784,0.068976963
90,0.153551849,0.103154826
91,0.171684379,0.117967662
92,0.16721855,0.104450048
93,0.167720499,0.103550699
94,0.17363977,0.124175725
95,0.165780985,0.097758472
96,0.16407402,0.117538657
97,0.181005234,0.127640453
98,0.186178613,0.112976295
99,0.197837904,0.123344615
100,0.169254154,0.088580873
101,0.165675895,0.083911421
102,0.161480038,0.085833059
103,0.169491362,0.136240695
104,0.160259489,0.098634616
105,0.163931825,0.09351101
106,0.143365541,0.091971641
107,0.159511394,0.105992746
108,0.144379325,0.09682812
109,0.169946669,0.119305304
110,0.159748636,0.130561098
111,0.147913273,0.110507283
112,0.147479679,0.106301073
113,0.156337553,0.116928995
114,0.179667087,0.134885329
115,0.167299689,0.165503428
116,0.175507843,0.109736725
117,0.200598878,0.174913962
118,0.223232671,0.322776799
119,0.219787929,0.290741982
120,0.168999087,0.113416059
121,0.239658528,0.355601233
122,0.216197798,0.238282338
123,0.221365845,0.266658411
124,0.21725934,0.323869218
125,0.305278129,0.832208861
126,0.18717054,0.149211819
127,0.301449703,0.613238152
128,0.495702004,2.035891184
129,0.445307255,1.801191148
130,0.296089379,0.592448171
131,0.435953641,1.72040006
132,0.339409948,1.131688597
133,0.294913752,0.500434515
134,0.474530152,1.881504184
135,0.49803772,2.1212178
136,0.659183521,3.174672066
137,0.595949306,2.630616437
138,0.742429708,3.342519787
139,0.340433985,0.864213758
140,0.431983088,1.315035176
141,0.28696624,0.50793957
142,0.282076882,0.32601485
143,0.250301165,0.234200281
144,0.265839718,0.197634159
145,0.298846361,0.40047708
146,0.321350168,0.386434535
147,0.333720452,0.549106235
148,0.252181736,0.20225164
149,0.292754795,0.242830851
150,0.313525825,0.277308172
151,0.326112153,0.298225971
152,0.324340953,0.36474199
153,0.303661509,0.29685785
154,0.319754328,0.455677057
155,0.288886556,0.327500653
156,0.337655082,0.346026314
157,0.330141169,0.400232865
158,0.341472157,0.381456664
159,0.403493801,0.462257074
160,0.403009047,0.532481633
161,0.376958339,0.491288378
162,0.394368501,0.47413377
163,0.388777703,0.399533093
164,0.47830108,0.450570903
165,0.384640958,0.40066191
166,0.472059484,0.74895618
167,0.548269503,0.610041079
168,0.523539202,0.686566613
169,0.543062029,0.553515469
170,0.9389765,2.500083435
171,0.664465638,1.399385402
172,0.568947773,1.223520357
173,0.874923896,2.449937513
174,0.602932329,1.010891463
175,0.69170437,0.966490843
176,0.712281822,1.363695
177,0.698269298,1.698092719
178,1.471033651,5.192560311
179,0.612661179,0.933885116
180,0.955220516,2.390101199
181,1.117852757,3.289965099
182,0.996323335,2.716988567
183,1.258485598,3.694501174
184,1.037389938,2.258703343
185,1.009417849,2.649792849
186,0.820043008,2.3244629
187,0.893184895,2.221518105
188,0.790664203,1.79463614
189,0.596326826,0.772477869
190,0.568044961,0.833382509
191,0.613203981,0.527480809
192,0.654173642,1.011567605
193,0.987235294,1.753694617
194,0.880641151,1.7360903
195,0.881420797,1.392113946
196,0.727045097,0.854643461
197,0.744012842,0.970744815
198,0.768293026,1.079592624
199,0.678691252,0.568789374
200,0.574476782,0.532898776
201,0.79667974,0.817057758
202,0.673865291,0.805835166
203,0.571962517,0.56805854
204,0.943158908,1.328633101
205,0.579491532,0.530375546
206,0.768069031,0.954686094
207,0.79132567,1.228001095
208,0.741349586,1.241008585
209,0.78749014,1.342150608
210,0.753631425,1.364120586
211,0.624981392,0.818005838
212,0.640004151,0.769658062
213,0.580870074,0.572516872
214,0.526780224,0.535446651
215,0.519503,0.529976804
216,0.544489615,0.545623448
217,0.765656469,1.52214113
218,0.758904295,1.241828107
219,0.635022229,0.844268865
220,0.747666109,1.222934446
221,0.72392086,2.074383301
222,0.887798342,1.852347381
223,0.756610936,1.660174751
224,0.983762106,3.917748544
225,0.852348668,2.05948449
226,2.528630309,13.79416875
227,3.13428562,17.76075175
228,2.983647528,17.25242645
229,2.557168873,11.95453539
230,2.214221948,9.435541529
231,2.252625545,9.312183919
232,3.701128381,19.31282429
233,3.155921508,13.40846537
234,2.110962776,6.083380256
235,2.940537544,11.36836688
236,1.633108958,5.250448249
237,1.253630372,2.694912874
238,1.497462331,3.498097274
239,1.218695307,2.849195815
240,1.621331937,3.519936968
241,1.452333875,3.497078511
242,1.239035511,2.575589388
243,1.931790831,6.982544244
244,1.168635694,2.507370852
245,3.161156434,16.07603432
246,2.727881823,13.46888358
247,4.867574976,23.78075079
248,1.838035867,6.519988706
249,2.1680257,9.003400273
250,2.581426441,9.714541857
251,9.311733505,59.215093
252,1.318787569,3.085427357
253,1.556998853,3.639728464
254,2.57916722,10.19880404
255,3.432753241,17.93246964
256,1.794333372,7.394250472
257,2.348654009,11.18432474
258,1.963783368,6.880478814
